ID,Study citation,Family,Subfamily,Operational contribution and branches,Consider when,Finite-sample evidence,Alternative comparison,Robustness,Computational / scalability evidence,Implementation availability
54,Maurya et al. (2017),Family 1 - Precision or uncertainty sufficiency,Joint parameter estimation,Two-stage NP - upper one-sided SCI,Treatment-control contrasts; simultaneous upper intervals,"✓ Grid of n, δ, k, and scales, 30,000 replications",✓ Paired comparison with LN,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,— None reported.,"~ Supplementary R code only to calculate d, not a full implementation evaluated"
55,Maurya et al. (2017),Family 1 - Precision or uncertainty sufficiency,Joint parameter estimation,Two-stage NP - lower one-sided SCI,Treatment-control contrasts; simultaneous lower intervals,"✓ Grid of n, δ, k, and scales, 30,000 replications",✓ Paired comparison with LN,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,— None reported.,"~ Supplementary R code only to calculate d, not a full implementation evaluated"
56,Maurya et al. (2017),Family 1 - Precision or uncertainty sufficiency,Joint parameter estimation,Two-stage NP - two-sided SCI and directional decision,Treatment-control contrasts; simultaneous bilateral intervals,"✓ Coverage/volume on a broad grid, without direct estimate of b(δ)",✓ Paired comparison with LN,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,— None reported.,~ Supplementary R code only for d; full implementation not evaluated
57,Mukherjee et al. (2021),Family 3 - Risk or loss sufficiency,,"Cost-aware active estimation (CAE): posterior mean, Fisher-information plug-in acquisition, and posterior-risk stopping; K=1 branches and K=2 illustration",Posterior estimate; posterior-risk stopping,"~ One synthetic illustration across several β, without complete Monte Carlo protocol",✓ CAE versus random selection and method [19] in the same graph and metric,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,"~ General cost qualitative (posterior integration and information of all sources), without scaling analysis",— None reported.
58,Mukhopadhyay et al. (2016),Family 1 - Precision or uncertainty sufficiency,Other scalar-parameter estimation,Purely sequential fixed-width CI for θ; truncated J branch and open extensions,Scalar parameter; sequential fixed width,"✓ Monte Carlo in multiple configurations, with observed finite undercoverage","~ Compares (m,ε) and I/J configurations; J is not a probabilistically distinct alternative",— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,"~ Online update by two sums; sample cost analyzed, without scalable computational benchmark",— None reported.
59,Mukhopadhyay et al. (2016),Family 1 - Precision or uncertainty sufficiency,Other scalar-parameter estimation,Multiplicative fixed-accuracy CI for θ; exact-horizon and approximations 1-4 branches,Scalar parameter; multiplicative fixed accuracy,✓ Calculations and Monte Carlo in multiple configurations,✓ Exact horizon and approximations compared on common grids,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,"~ Calculated sizes and quantiles discussed, without computational scalability study",— None reported.
60,Mukhopadhyay et al. (2016),Family 1 - Precision or uncertainty sufficiency,Other scalar-parameter estimation,"Bounded-accuracy CI for τ(θ), with exact/approximate-horizon branches",Transformed parameter; bounded accuracy,✓ Monte Carlo at multiple θ values/configurations,"~ Exact/approximate horizons are considered, but direct evaluation of L_n is narrow",— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,~ Fixed horizon and closed-form formula; no resource-scaling evaluation,— None reported.
61,Mukhopadhyay et al. (2018),Family 3 - Risk or loss sufficiency,,"Two-stage normal MRPE; corrected-sample, GMD, and MAD branches",Normal mean; two-stage minimum risk,"✓ 10, 000 replications at four n* and three σ_L",✓ Three new branches compared in the same design; no direct comparison with antecedents,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,"~ Naive GMD may cost more, but no scaling analysis or measurement",— None reported.
62,Mukhopadhyay et al. (2018),Family 1 - Precision or uncertainty sufficiency,Mean estimation,"Two-stage normal FCIE; corrected sample-variance, GMD², and MAD² branches",Normal mean; two-stage absolute precision,"✓ 10,000 replications at five C, with undercoverage at the smallest sizes",✓ Three new branches compared in the same design; previous Student/pivotal rules are not empirical comparators,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,"~ Naive GMD may cost more, but no scaling analysis or measurement",— None reported.
63,Mukhopadhyay (2020),Family 1 - Precision or uncertainty sufficiency,Mean estimation,P1: exponential fixed-width CI centered on all accumulated data,Exponential mean; fixed width,"✓ 5,000 replications at six C values, with reported coverages",✓ Common comparison with P2 and P3 at the same stopping times,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,~ Online rule with sum/mean and sample cost analyzed; no computational scalability test,— None reported.
64,Mukhopadhyay (2020),Family 1 - Precision or uncertainty sufficiency,Mean estimation,P2/P3: exponential CIs centered on the stopping time; P3 adds bias correction,Exponential mean; stopping-time CI,"✓ 5, 000 replications at six C; separable results for P2/P3","✓ P2, P3, and P1 compared at the same N_d",— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,~ Output is computationally closed after stopping; no systematic resource evaluation,— None reported.
65,Mukhopadhyay et al. (2020a),Family 1 - Precision or uncertainty sufficiency,Mean estimation,V1 - nonparametric sequential FWCI for the mean,Nonparametric mean; fixed width,"✓ multiple pilots, benchmarks, and distributions",— None reported.,✓ Non-normality: Multiple nonnormal distributions and severity levels were evaluated. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,✓ Final size evaluated across multiple benchmarks,~ Executable rule described; code/seed not reported
66,Mukhopadhyay et al. (2020a),Family 3 - Risk or loss sufficiency,,V2 - nonparametric sequential MRPE for the mean,Nonparametric mean; minimum risk,"✓ multiple pilots, benchmarks, and distributions",— None reported.,✓ Non-normality: Nonnormal distributions and mixtures were compared. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,✓ Final size evaluated across multiple benchmarks,~ Executable rule described; code/seed not reported
67,Mukhopadhyay et al. (2020a),Family 1 - Precision or uncertainty sufficiency,Other scalar-parameter estimation,V3 - nonparametric sequential FWCI for variance,Nonparametric variance; fixed width,"✓ multiple pilots, benchmarks, and populations",— None reported.,✓ Non-normality: The distributional stress set includes t(8) scenarios. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,✓ Final size evaluated across multiple benchmarks,~ Procedure described; no code and no correction for negative lower limit
68,Mukhopadhyay et al. (2020a),Family 3 - Risk or loss sufficiency,,V4 - nonparametric sequential MRPE for variance,Nonparametric variance; minimum risk,"✓ multiple pilots, benchmarks, and populations",— None reported.,✓ Non-normality: The distributional stress set includes t(8) scenarios. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,✓ Final size evaluated across multiple benchmarks,~ Procedure described; code/seed not reported
69,Mukhopadhyay et al. (2020b),Family 1 - Precision or uncertainty sufficiency,Mean estimation,"Helmert class N_{r,h} - FWCI branch",Normal mean; Helmert fixed width,"✓ 10,000 replications, multiple r, and benchmarks",✓ r branches compared; r=2 optimal only in internal asymptotic variance,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,"✓ Size/excess evaluated from 50 to 2, 000",~ Clear online update; constants/code/seed incomplete
70,Mukhopadhyay et al. (2020b),Family 3 - Risk or loss sufficiency,,"Helmert class N_{r,h} - MRPE branch",Normal mean; Helmert minimum risk,"✓ 10,000 replications, multiple r, and benchmarks",✓ r branches compared; r=2 minimizes the pertinent asymptotic term,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,"✓ size, risk, and regret evaluated from 50 to 2,000",~ Clear online update; constants/code/seed incomplete
71,Mukhopadhyay et al. (2020c),Family 1 - Precision or uncertainty sufficiency,Mean estimation,"FWCI for mean with unit and batched acquisition; P_{1,k}, P_{2,k} branches",Mean; unit/batched fixed width,"✓ 10,000 runs at multiple k, pilots, and oracles; includes undercoverage",✓ Branches and usual procedure compared in the same model,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,✓ Terminal size evaluated at multiple k and oracles,~ Implementable rules and MATLAB reported; code not supplied
72,Mukhopadhyay et al. (2020c),Family 3 - Risk or loss sufficiency,,"MRPE for mean with unit and batched acquisition; Q_{1,k}, Q_{2,k} branches",Mean; unit/batched minimum risk,"✓ 10,000 runs at multiple k, pilots, and oracles",✓ Branches and usual procedure compared in the same model,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,✓ Size/risk evaluated at multiple k and oracles,~ Implementable rules and MATLAB reported; code not supplied
73,Mukhopadhyay et al. (2020d),Family 1 - Precision or uncertainty sufficiency,Mean estimation,"Batched FWCI with permuted estimators P#_{1,k}, P#_{2,k}",Mean; batched permuted fixed width,"✓ 10,000 runs at multiple k, pilots, and targets",✓ New branches versus previous batched ones under common scenarios,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,✓ Size and dispersion evaluated at multiple k and C_k,~ Accumulators and rule described; code/seed not reported
74,Mukhopadhyay et al. (2020d),Family 3 - Risk or loss sufficiency,,"Batched MRPE with permuted estimators Q#_{1,k}, Q#_{2,k}",Mean; batched permuted minimum risk,"✓ 10,000 runs at multiple k, pilots, and targets",✓ New branches versus previous batched ones under common scenarios,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,"✓ size, risk, and dispersion evaluated at multiple k and n_k*",~ Accumulators and rule described; code/seed not reported
75,Mukhopadhyay et al. (2022),Family 1 - Precision or uncertainty sufficiency,Mean estimation,"MRFWCI formulation and unified theory for normal-mean FWCI, with purely sequential, accelerated, three-stage, and lower-bound two-stage branches",Normal mean; multistage fixed width,"✓ Simulation at seven oracle sizes, 10,000 replications, and coverage/risk metrics; application is retrospective","✓ Four rules compared under the same population, targets, and metrics",— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,"~ Comparative times in one workload, without scaling evaluation or reproducible environment",— None reported.
76,Mukhopadhyay et al. (2024),Family 1 - Precision or uncertainty sufficiency,Other scalar-parameter estimation,"Unified second-order theory for FWCI of contrast between two NE locations, with P1-P4 branches",Two-location contrast; fixed width,"✓ Monte Carlo over an ideal-size range and stated parameter grid, with 100,000 repetitions; published results are parametrically narrow","✓ P1-P4 compared in the same problem, scenarios, and metrics",— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,"✓ Computational time evaluated along ideal sizes/workloads and across strategies, with environment reported",— None reported.
77,Park (2016),Family 1 - Precision or uncertainty sufficiency,Joint parameter estimation,"Numerical comparison of sequential estimation under covariate-adjusted CARA versus RA described as unadjusted, with precision stopping",Joint parameter estimation; confidence-region precision,"✓ Simulations across multiple pilots and tunings report stopping, coverage, and CAP, including unfavorable results and exceptions","~ RA comparator exists, but it is unclear whether only allocation or also model, estimand, contrast, and stopping covariance change",— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,✓ Sample resource/stopping time quantified systematically across multiple pilots and configurations,— None reported.
78,Quan et al. (2025),Family 5 - Resource-aware acquisition and stopping,,Sequential Bayesian estimation with precision-ordered transmission and posterior-width stopping,Posterior estimate; posterior-width precision,"~ Synthetic evaluation uses N=50 in one configuration; metrics and results exist, but size, α, and Monte Carlo are incomplete","✓ Informed order, random order, and all sensors compared in common configurations by MSE and transmissions",— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,"~ Mean transmission count is quantified/limited and compared, but no systematic scaling or complete energy model",— None reported.
79,Sajjadipanah et al. (2021),Family 3 - Risk or loss sufficiency,,Two-stage point estimation of β in AR(1); purely sequential comparator branch,AR(1) coefficient; two-stage point risk,"✓ Monte Carlo at four (m,A) pairs, a β grid, and 10,000 replications","✓ Common comparison with the purely sequential rule by size, risk, and RMSE",— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,~ Lower update frequency is qualitative; cost not measured,"~ Executable formula, but no code/pseudocode and finite states without fallback"
80,Sajjadipanah et al. (2021),Family 1 - Precision or uncertainty sufficiency,Other scalar-parameter estimation,Two-stage fixed-width CI for β; purely sequential comparator branch,AR(1) coefficient; two-stage fixed width,"✓ Coverage and size evaluated across multiple pilots, widths, and β values",✓ Comparison in the same design with the purely sequential interval rule,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,~ One-additional-batch architecture is qualitatively simple; no scaling evaluation,"~ Explicit rule, but ambiguous normal critical value, nonpositive plug-in, and singular denominator without safeguard"
81,Schmalofski et al. (2023),Family 4 - Operational-state sufficiency,,"Joint terminal criterion: interpolated energy stability and persistence of N_cusps, with 1D/2D branches",Energy/cusp structure; joint stability,"✓ Trajectories at multiple thresholds/configurations in 1D and four 2D cases, with metrics and results","~ Comparison with regular grid evaluates acquisition+stopping jointly, without stopping ablation",— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,"~ Discusses grid cost s² and simulation reduction, without systematic scalability study",~ Partial flow and rules; code in development only on request and supplement absent
82,Schmalofski et al. (2023),Family 4 - Operational-state sufficiency,,2D extension of sequential design and minima/valley detector,Two-dimensional minimum/valley; structural stability,✓ Four 2D landscapes with stated budgets and results against references,✓ Combined procedure compared with regular grids of the same total budget,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,"~ Grid construction s² is said to be costly, without quantified scalability","~ Grid, 8-connectivity, and consolidation are described; edges/ties and query modality remain uncertain"
83,Solanky et al. (2015),Family 2 - Discrete-decision sufficiency,,"Single-stage ternary classification, known variance, with two symmetric indifference zones",Ternary classification; known-variance indifference zones,— None reported.,— None reported.,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,~ Size grows as 1/(ra)² and b requires numerical integration; no scaling test,"~ Formulas and b table, but no code, pseudocode, or tie-breaking rule"
84,Solanky et al. (2015),Family 2 - Discrete-decision sufficiency,,Ternary classification with global purely sequential stopping under unknown variance,Ternary classification; unknown-variance sequential rule,"✓ Simulation at multiple targets n* and r, 5,000 repetitions, PCD and E(N)",— None reported.,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,"~ Relation N≈n* and 1/(ra)² growth formalized, but without scaled computational cost","~ Explicit mathematical rule; no code, tolerances, cap, or tie-breaking"
85,Steland (2017),Family 1 - Precision or uncertainty sufficiency,Mean estimation,Two-stage normal fixed-width VWA CI,Weighted mean; two-stage absolute precision,"✓ Coverage and size evaluated at multiple d, n₀, and locations; part of reporting is incomplete","✓ Common comparison with bootstrap calibration in Tables 6-9, with mixed results",— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,~ Horizon and O(n) cost described; no systematic scalability evaluation,"~ Explicit rule, but second-batch count is inconsistent and integer operators/cap are undefined"
86,Steland (2017),Family 1 - Precision or uncertainty sufficiency,Mean estimation,Two-stage fixed-width VWA CI with studentized/smoothed bootstrap quantile,Weighted mean; bootstrap-calibrated precision,"✓ Tables 8-9 use 50,000 runs, B=2000, and multiple d/locations; improvement is nonuniform",✓ Comparison with normal variant under common scenarios and coverage,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,"~ Bootstrap is described as more demanding, without times or scalability","~ Partial formulas; smoothing width, rounding, degenerate studentization, and cap unresolved; no code"
87,Steland et al. (2021),Family 1 - Precision or uncertainty sufficiency,Mean estimation,Generic nonparametric two-stage fixed-width interval rule; high-accuracy/high-confidence regimes and first-stage branches,Mean estimation; two-stage absolute precision,"✓ Simulations cover multiple d, levels, distributions, and initial minima, including unfavorable results",✓ Minima 15/30 are compared in the same design; alternative branch is also formalized,"✓ Non-normality: Normal, t(5), and uniform distributions were compared. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.","~ Sample efficiency is formalized and sizes measured, but no computational scalability evaluation",~ Algorithm and formulas are reproducible at a high level; code/package not reported
88,Steland et al. (2021),Family 1 - Precision or uncertainty sufficiency,Mean estimation,Extension to increasing-dimension data projections,Projected mean; increasing dimension,— None reported.,— None reported.,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,"~ Conditions allow growing p_n, but cost/scalability are not quantified",~ Formulas for procedure and variance are given; no executable artifact
89,Steland et al. (2021),Family 1 - Precision or uncertainty sufficiency,Mean estimation,Two-stage rule for common mean of two samples with random weights,Common mean; two-sample random weights,"✓ Table 2 evaluates multiple d, levels, and distributions, although it contains internal inconsistencies and difficult performance under t(5)","~ There are horizon/variant comparators in the same study, but unit and truncation prevent fully coherent reading","✓ Non-normality: Normal, t(5), and uniform distributions were compared. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.","~ Sizes/oversizing are reported, but cost unit is uncertain and there is no computational scaling","~ Formulas and plug-in are supplied, but no code and no fallback for 0/0"
90,Tavana et al. (2015),Family 4 - Operational-state sufficiency,,"Integrated entropic framework of synthetic extrapolation, EV ranking, and validation/continuation gate",EV ranking; validation/continuation gate,"✓ One/two loops, four configurations, and Monte Carlo with two and ten evaluations are evaluated with rankings/results",✓ Uniform/normal/PERT Monte Carlo and four variants of two bounded algorithms compared in the common case,"— Non-normality. — Autocorrelation/dependence. — Nonstationarity. ~ Model misspecification: Alternative domains were evaluated, but as a single limited perturbation.","~ Growing intractability is recognized and motivates expected plug-in; no times, orders, or systematic scaling","~ Equations and flowchart are supplied, but code, complete numerical method, and fallbacks are missing"
91,Wu et al. (2021),Family 4 - Operational-state sufficiency,,"Precision analysis under uncertain current: model, relative-error stopping MCS, surfaces, and Sobol",Motion-error mean; relative-error threshold,"✓ Twenty configurations, MCS with 1,950 realizations, and multiple results/sensitivities provide finite evaluation",— None reported.,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,"~ Counts (20, 30,000, 1,950) and MATLAB integration are reported, without systematic scaling study","~ Equations, integrator, parameters, and polynomials are reported; code, seeds, and complete protocol are not"
92,Wu et al. (2021),Family 4 - Operational-state sufficiency,,Intermittent yaw-feedback strategy by calculated duration,Yaw response; duration condition,"~ Evaluated by simulation with and without feedback, but in one illustrated configuration and without prospective physical trial",✓ Direct comparison with no-feedback regime uses μ_D/Δμ_D in the same model,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,— None reported.,"~ Logic, parameters, and actuation are described, but ramps, saturation, division by zero, and “End control?” remain incomplete"
93,Zhao et al. (2021),Family 5 - Resource-aware acquisition and stopping,,"CEMHMB for reliability evaluation: CE-SS-M-H, minimum-burden stopping, and terminal IS",Reliability estimation; computational burden and probability precision,"✓ Multiple systems/cases and ρ/γ sensitivities report burden, time, LOLP, and EENS","✓ CEIS, CMCS, and pure SS compared in common scenarios with cost and reliability metrics",— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,"✓ Burden and time quantified in several systems/workloads, with environment and budgets reported","~ Three algorithms and equations supplied, but no code and finite states/terminal formula unresolved"
94,Zhuang et al. (2021),Family 3 - Risk or loss sufficiency,,"Minimum-risk point estimation of population size, with pure, conventional accelerated, and practical batched accelerated branches",Population size; minimum risk,"✓ Simulations in multiple configurations for pure and batch branches, with metrics and results; scopes separate","~ Comparison with limited-risk method, but without common objective function",— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,"~ Costs/samples are theoretically quantified and compared, but there is no systematic evaluation of computational cost or operational scalability","~ Formulas and steps are partly reproducible; no code and rules for infeasible states, rounding, and update convention are missing"
95,Zoubeidi et al. (2019),Family 1 - Precision or uncertainty sufficiency,Joint parameter estimation,"Fixed-size sequential regions for θ and γ=Aθ, with precision/N grid extension",Joint parameter estimation; confidence-region precision,"✓ Simulations in 1,000 repetitions, multiple designs/coefficient values, with reported coverage, including unfavorable results",— None reported.,— Non-normality. — Autocorrelation/dependence. — Nonstationarity. — Model misspecification.,— None reported.,"~ Software and numerical operations are cited, but no executable artifact or failure handling exists and there is a sign inconsistency in information"
